id,type,question,gold,retrieved,rr,hit@1,hit@3,hit@5
q42,조항용어,제45조에 따른 정기 상여금의 지급 방법은 어떤 조항을 준용하나요?,jo-45,jo-45|jo-43|jo-46|jo-19|jo-42,1.0,1.0,1.0,1.0
q43,일상어,퇴직금을 퇴직 전에 미리 받을 수 있는 경우가 있나요?,jo-48,jo-48|jo-29|jo-49|jo-28|jo-44,1.0,1.0,1.0,1.0
q44,조항용어,제47조에 따른 확정기여형(DC형) 퇴직연금의 적립 비율은 얼마인가요?,jo-47,jo-47|jo-48|jo-49|jo-29|jo-45,1.0,1.0,1.0,1.0
q45,일상어,입사한 지 얼마나 돼야 자녀 학자금 지원을 받을 수 있나요?,jo-50,jo-50|jo-16|jo-11|jo-1|jo-2,1.0,1.0,1.0,1.0
q46,조항용어,제53조에 따른 근속 10년 장기근속 포상 내용은 무엇인가요?,jo-53,jo-53|jo-40|jo-57|jo-51|jo-56,1.0,1.0,1.0,1.0
q47,일상어,징계 처분에 불복하면 재심을 청구할 수 있나요?,jo-57,jo-57|jo-15|jo-28|jo-25|jo-10,1.0,1.0,1.0,1.0
q48,조항용어,제56조에 따른 감봉 처분의 감액 한도는 어떻게 되나요?,jo-56,jo-46|jo-61|jo-55|jo-73|jo-49,0.0,0.0,0.0,0.0
q49,일상어,회사 회계연도는 언제부터 언제까지인가요?,jo-58,jo-58|jo-65|jo-60|jo-43|jo-66,1.0,1.0,1.0,1.0
q50,조항용어,제60조에 따른 회계 장부 및 증빙의 보존 기한은 몇 년인가요?,jo-60,jo-60|jo-75|jo-16|jo-58|jo-39,1.0,1.0,1.0,1.0
q51,일상어,법인카드로 개인 용도 결제하면 어떻게 되나요?,jo-62,jo-62|jo-64|jo-33|jo-76|jo-58,1.0,1.0,1.0,1.0
q52,조항용어,제61조에 따른 부서별 소액현금 보유 한도는 얼마인가요?,jo-61,jo-61|jo-58|jo-67|jo-71|jo-64,1.0,1.0,1.0,1.0
q53,일상어,얼마 넘는 거래부터 세금계산서 같은 정식 증빙을 받아야 하나요?,jo-64,jo-64|jo-70|jo-60|jo-82|jo-68,1.0,1.0,1.0,1.0
q54,조항용어,제65조에 따른 연 결산 재무제표(안)는 언제까지 작성하나요?,jo-65,jo-65|jo-58|jo-46|jo-75|jo-74,1.0,1.0,1.0,1.0
q55,일상어,외부 업체와 계약서를 쓰기 전에 누구한테 검토받아야 하나요?,jo-69,jo-69|jo-68|jo-66|jo-13|jo-11,1.0,1.0,1.0,1.0
q56,조항용어,제68조에 따라 비교 견적이 필요한 구매 금액 기준은 얼마인가요?,jo-68,jo-68|jo-67|jo-13|jo-71|jo-69,1.0,1.0,1.0,1.0
q57,일상어,쓰던 회사 컴퓨터를 폐기할 때 그냥 버리면 되나요?,jo-73,jo-75|jo-73|jo-60|jo-28|jo-57,0.5,0.0,1.0,1.0
q58,조항용어,제71조에 따라 고정자산으로 등록해야 하는 취득 금액 기준은 얼마인가요?,jo-71,jo-72|jo-71|jo-83|jo-73|jo-61,0.5,0.0,1.0,1.0
q59,일상어,부서 직인(사용인장)은 마음대로 만들어서 써도 되나요?,jo-76,jo-76|jo-10|jo-12|jo-5|jo-11,1.0,1.0,1.0,1.0
q60,조항용어,제75조에 따른 문서 보존 기한의 분류는 몇 단계인가요?,jo-75,jo-75|jo-74|jo-60|jo-16|jo-11,1.0,1.0,1.0,1.0
q61,일상어,회사에 처음 출근하면 출입증은 언제 받나요?,jo-77,jo-77|jo-16|jo-39|jo-1|jo-80,1.0,1.0,1.0,1.0
q62,조항용어,제79조에 따른 업무용 차량 배차 신청은 언제까지 해야 하나요?,jo-79,jo-79|jo-41|jo-19|jo-82|jo-9,1.0,1.0,1.0,1.0
q63,일상어,출장 가면 하루 식비는 얼마까지 나오나요?,jo-80,jo-80|jo-81|jo-82|jo-61|jo-28,1.0,1.0,1.0,1.0
q64,조항용어,제82조에 따른 출장비 정산서 제출 기한은 언제까지인가요?,jo-82,jo-82|jo-61|jo-80|jo-65|jo-43,1.0,1.0,1.0,1.0
q65,일상어,회사 시스템 비밀번호는 얼마나 자주 바꿔야 하나요?,jo-84,jo-84|jo-85|jo-39|jo-31|jo-32,1.0,1.0,1.0,1.0
q66,조항용어,제85조에 따라 외부에서 사내 시스템에 접근할 때 무엇을 거쳐야 하나요?,jo-85,jo-85|jo-84|jo-78|jo-32|jo-90,1.0,1.0,1.0,1.0
q67,일상어,개인정보가 유출된 것 같으면 며칠 안에 신고해야 하나요?,jo-88,jo-88|jo-86|jo-96|jo-87|jo-100,1.0,1.0,1.0,1.0
q68,조항용어,제87조에 따라 암호화 대상이 되는 정보는 무엇인가요?,jo-87,jo-87|jo-73|jo-86|jo-75|jo-84,1.0,1.0,1.0,1.0
q69,일상어,회사에서 일하다 다쳤을 때(산업재해) 며칠 안에 회사에 보고해야 하나요?,jo-91,jo-91|jo-90|jo-3|jo-13|jo-57,1.0,1.0,1.0,1.0
q70,조항용어,제90조에 따라 작업장 위험 요인이 발견되면 며칠 이내에 개선해야 하나요?,jo-90,jo-90|jo-93|jo-16|jo-28|jo-1,1.0,1.0,1.0,1.0
q71,일상어,사무직 직원은 건강검진을 몇 년에 한 번 받나요?,jo-92,jo-92|jo-94|jo-39|jo-93|jo-41,1.0,1.0,1.0,1.0
q72,조항용어,제93조에 따른 사무실 냉방 시 실내 온도 기준은 어떻게 되나요?,jo-93,jo-93|jo-77|jo-78|jo-85|jo-90,1.0,1.0,1.0,1.0
q73,일상어,직장 내 괴롭힘을 신고하고 싶은데 이름을 밝히지 않고도 신고할 수 있나요?,jo-96,jo-96|jo-97|jo-95|jo-100|jo-56,1.0,1.0,1.0,1.0
q74,조항용어,제97조에 따른 직장 내 괴롭힘 사건의 조사 완료 기한은 며칠인가요?,jo-97,jo-97|jo-31|jo-100|jo-95|jo-96,1.0,1.0,1.0,1.0
q75,일상어,"성희롱 예방 교육은 1년에 몇 번, 얼마나 받아야 하나요?",jo-99,jo-99|jo-98|jo-95|jo-39|jo-92,1.0,1.0,1.0,1.0
q76,조항용어,제100조에 따른 조사 참여자의 비밀유지 의무를 위반하면 어떻게 되나요?,jo-100,jo-96|jo-100|jo-32|jo-97|jo-68,0.5,0.0,1.0,1.0
